"rt","time_elapsed","subject","subID","group","day","trialType","phase","key_press","stim","stimNum","corrresp","hierarchy","trialNum","corr","responses"
"722","191170","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/r_c_dots.png","5","72","color,shape,pattern","106","1",""
"null","192173","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","106","",""
"727.0000000000291","192901","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/b_s_stripes.png","4","70","color,shape,pattern","107","1",""
"null","193904","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","107","",""
"478.0000000000291","194383","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/b_s_stripes.png","4","70","color,shape,pattern","108","1",""
"null","195386","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","108","",""
"556.0000000000291","195943","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","109","1",""
"null","196945","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","109","",""
"637","197583","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/b_s_dots.png","3","68","color,shape,pattern","110","0",""
"null","198586","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","110","",""
"553","199140","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_s_dots.png","7","75","color,shape,pattern","111","1",""
"null","200143","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","111","",""
"787.0000000000291","200931","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","112","1",""
"null","201934","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","112","",""
"648","202583","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_s_dots.png","7","75","color,shape,pattern","113","1",""
"null","203585","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","113","",""
"762.9999999999709","204349","HierDyge97xraz","sub01 ","01 ","5","rl","test","65","img/b_c_dots.png","1","65","color,shape,pattern","114","1",""
"null","205352","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","114","",""
"540","205893","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","115","1",""
"null","206896","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","115","",""
"964","207861","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/b_c_stripes.png","2","83","color,shape,pattern","116","0",""
"null","208863","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","116","",""
"820","209685","HierDyge97xraz","sub01 ","01 ","5","rl","test","65","img/b_c_dots.png","1","65","color,shape,pattern","117","1",""
"null","210687","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","117","",""
"658","211347","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","118","1",""
"null","212349","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","118","",""
"588","212938","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/b_s_stripes.png","4","70","color,shape,pattern","119","1",""
"null","213941","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","119","",""
"1014","214956","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","120","1",""
"null","215957","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","120","",""
"663","216622","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/r_c_dots.png","5","72","color,shape,pattern","121","1",""
"null","217624","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","121","",""
"1612","219237","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_dots.png","1","65","color,shape,pattern","122","0",""
"null","220240","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","122","",""
"1109","221351","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_s_dots.png","7","75","color,shape,pattern","123","1",""
"null","222353","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","123","",""
"597","222952","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","124","1",""
"null","223955","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","124","",""
"746","224702","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","125","1",""
"null","225705","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","125","",""
"912","226618","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","126","1",""
"null","227619","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","126","",""
"539.9999999999709","228161","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","127","1",""
"null","229164","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","127","",""
"1320","230485","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","128","1",""
"null","231487","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","128","",""
"725","232213","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_s_dots.png","7","75","color,shape,pattern","129","1",""
"null","233215","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","129","",""
"681.9999999999709","233899","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/r_c_dots.png","5","72","color,shape,pattern","130","1",""
"null","234901","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","130","",""
"805","235708","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","131","1",""
"null","236711","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","131","",""
"483","237195","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/b_s_stripes.png","4","70","color,shape,pattern","132","1",""
"null","238198","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","132","",""
"541.9999999999709","238741","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/b_s_stripes.png","4","70","color,shape,pattern","133","1",""
"null","239743","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","133","",""
"534","240279","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_dots.png","1","65","color,shape,pattern","134","0",""
"null","241282","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","134","",""
"858","242140","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","135","1",""
"null","243142","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","135","",""
"641","243785","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","136","1",""
"null","244787","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","136","",""
"670","245458","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","137","1",""
"null","246461","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","137","",""
"694.0000000000291","247156","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/b_c_dots.png","1","65","color,shape,pattern","138","0",""
"null","248159","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","138","",""
"585.0000000000291","248745","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/b_s_stripes.png","4","70","color,shape,pattern","139","1",""
"null","249748","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","139","",""
"853","250603","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","140","1",""
"null","251605","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","140","",""
"373","251979","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/b_s_stripes.png","4","70","color,shape,pattern","141","1",""
"null","252982","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","141","",""
"702","253685","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_s_dots.png","7","75","color,shape,pattern","142","1",""
"null","254688","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","142","",""
"500.9999999999709","255191","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","143","1",""
"null","256194","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","143","",""
"806","257002","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/r_c_dots.png","5","72","color,shape,pattern","144","1",""
"null","258004","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","144","",""
"855.0000000000291","258861","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","145","1",""
"null","259862","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","145","",""
"524","260388","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","146","1",""
"null","261390","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","146","",""
"1256.0000000000582","262647","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/r_c_dots.png","5","72","color,shape,pattern","147","1",""
"null","263650","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","147","",""
"862","264513","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/b_s_dots.png","3","68","color,shape,pattern","148","0",""
"null","265515","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","148","",""
"566.0000000000582","266083","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/r_s_dots.png","7","75","color,shape,pattern","149","0",""
"null","267085","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","149","",""
"1649","268736","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","150","1",""
"null","269738","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","150","",""
"715","270454","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","151","1",""
"null","271457","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","151","",""
"797.0000000000582","272256","HierDyge97xraz","sub01 ","01 ","5","rl","test","65","img/b_c_dots.png","1","65","color,shape,pattern","152","1",""
"null","273258","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","152","",""
"654","273913","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/b_s_stripes.png","4","70","color,shape,pattern","153","1",""
"null","274916","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","153","",""
"434","275351","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","154","1",""
"null","276354","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","154","",""
"1058","277413","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","155","1",""
"null","278415","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","155","",""
"415","278831","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","156","1",""
"null","279834","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","156","",""
"689","280525","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/r_c_dots.png","5","72","color,shape,pattern","157","1",""
"null","281527","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","157","",""
"579","282107","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_s_dots.png","7","75","color,shape,pattern","158","1",""
"null","283109","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","158","",""
"899","284009","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","159","1",""
"null","285012","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","159","",""
"825","285838","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","160","1",""
"null","286840","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","160","",""
"836","287677","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","161","1",""
"null","288680","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","161","",""
"743","289424","HierDyge97xraz","sub01 ","01 ","5","rl","test","65","img/b_c_dots.png","1","65","color,shape,pattern","162","1",""
"null","290427","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","162","",""
"458","290886","HierDyge97xraz","sub01 ","01 ","5","rl","test","65","img/b_c_dots.png","1","65","color,shape,pattern","163","1",""
"null","291888","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","163","",""
"625","292516","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/r_c_dots.png","5","72","color,shape,pattern","164","1",""
"null","293518","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","164","",""
"596","294117","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/b_s_stripes.png","4","70","color,shape,pattern","165","1",""
"null","295119","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","165","",""
"630","295750","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_s_dots.png","7","75","color,shape,pattern","166","1",""
"null","296753","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","166","",""
"631.0000000000582","297385","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/b_c_dots.png","1","65","color,shape,pattern","167","0",""
"null","298387","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","167","",""
"796","299185","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","168","1",""
"null","300188","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","168","",""
"583.0000000000582","300772","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","169","1",""
"null","301775","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","169","",""
"514","302291","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","170","1",""
"null","303294","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","170","",""
"551","303846","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","171","1",""
"null","304849","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","171","",""
"574","305424","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_c_stripes.png","6","74","color,shape,pattern","172","0",""
"null","306427","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","172","",""
"649","307077","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","173","1",""
"null","308080","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","173","",""
"588","308669","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/b_s_stripes.png","4","70","color,shape,pattern","174","0",""
"null","309672","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","174","",""
"1493","311166","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","175","1",""
"null","312169","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","175","",""
"758.9999999999418","312930","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","176","1",""
"null","313932","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","176","",""
"1186.9999999999418","315120","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_s_dots.png","7","75","color,shape,pattern","177","1",""
"null","316122","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","177","",""
"593","316717","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/r_c_dots.png","5","72","color,shape,pattern","178","1",""
"null","317720","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","178","",""
"547","318268","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/b_s_stripes.png","4","70","color,shape,pattern","179","0",""
"null","319271","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","179","",""
"763","320036","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_dots.png","5","72","color,shape,pattern","180","0",""
"null","321038","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","180","",""
"666","321706","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_s_dots.png","7","75","color,shape,pattern","181","1",""
"null","322709","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","181","",""
"661","323372","HierDyge97xraz","sub01 ","01 ","5","rl","test","65","img/b_c_dots.png","1","65","color,shape,pattern","182","1",""
"null","324375","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","182","",""
"854","325230","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","183","1",""
"null","326233","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","183","",""
"513","326747","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/b_s_stripes.png","4","70","color,shape,pattern","184","1",""
"null","327748","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","184","",""
"499","328249","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","185","1",""
"null","329251","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","185","",""
"952","330205","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/r_c_dots.png","5","72","color,shape,pattern","186","1",""
"null","331208","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","186","",""
"557.0000000000582","331767","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","187","1",""
"null","332768","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","187","",""
"942","333712","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","188","1",""
"null","334714","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","188","",""
"702","335418","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","189","1",""
"null","336420","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","189","",""
"594.9999999999418","337016","HierDyge97xraz","sub01 ","01 ","5","rl","test","65","img/b_c_dots.png","1","65","color,shape,pattern","190","1",""
"null","338019","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","190","",""
