"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","type","trialNum","corr","repeatTrial","motorSwitch","pracCounter"
"null","","1546300","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"379","","1546690","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","65","img/motor_1.png","65","motor","1","color","419","1","0","0",""
"null","","1546805","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"524","","1547337","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","420","1","0","0",""
"null","","1547452","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"413","","1547881","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","76","img/motor_8.png","76","motor","8","color","421","1","0","0",""
"null","","1547997","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"443","","1548457","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","74","img/motor_6.png","74","motor","6","color","422","1","0","0",""
"null","","1548573","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"379","","1548968","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","74","img/motor_6.png","74","motor","6","color","423","1","0","0",""
"null","","1549084","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"436","","1549529","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","424","1","0","0",""
"null","","1549638","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"427","","1550073","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","65","img/motor_1.png","65","motor","1","color","425","1","0","0",""
"null","","1550182","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"412","","1550608","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","76","img/motor_8.png","76","motor","8","color","426","1","0","0",""
"null","","1550724","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"364","","1551098","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","75","img/motor_7.png","75","motor","7","color","427","1","0","0",""
"null","","1551213","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_7.png","75","motor","","","","","","",""
