rt,responses,time_elapsed,subject,prolificID,demoID,trialType,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy
748,,3076226,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,74,img/b_d_dots.png,83,test,2,360,0,,,,"pattern,color,shape"
null,,3077239,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1990,,3079241,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,83,img/b_d_check.png,74,test,6,361,0,,,,"pattern,color,shape"
null,,3080253,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1109,,3081373,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,75,img/b_d_check.png,74,test,6,362,0,,,,"pattern,color,shape"
null,,3082386,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
819,,3083216,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,72,img/o_d_check.png,72,test,5,363,1,,,,"pattern,color,shape"
null,,3084227,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
2051,,3086289,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,68,img/o_t_check.png,68,test,3,364,1,,,,"pattern,color,shape"
null,,3087301,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1132,,3088443,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,65,img/o_t_dots.png,65,test,1,365,1,,,,"pattern,color,shape"
null,,3089454,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
2092,,3091557,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,75,img/b_t_check.png,75,test,7,366,1,,,,"pattern,color,shape"
null,,3092570,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
2038,,3094618,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,83,img/o_d_dots.png,76,test,8,367,0,,,,"pattern,color,shape"
null,,3095628,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1089,,3096727,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,70,img/b_t_dots.png,70,test,4,368,1,,,,"pattern,color,shape"
null,,3097737,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1103,,3098851,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,75,img/o_t_check.png,68,test,3,369,0,,,,"pattern,color,shape"
null,,3099864,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1501,,3101374,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,75,img/o_d_dots.png,76,test,8,370,0,,,,"pattern,color,shape"
null,,3102387,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1515,,3103913,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,65,img/o_t_dots.png,65,test,1,371,1,,,,"pattern,color,shape"
null,,3104924,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1380,,3106315,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,83,img/b_d_dots.png,83,test,2,372,1,,,,"pattern,color,shape"
null,,3107327,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
749,,3108087,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,83,img/b_d_dots.png,83,test,2,373,1,,,,"pattern,color,shape"
null,,3109100,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
770,,3109881,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,65,img/o_t_dots.png,65,test,1,374,1,,,,"pattern,color,shape"
