"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"765","","120481","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","70","img/motor_4.png","70","motor","4","31","1","0","0","",""
"null","","120591","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_4.png","70","motor","","","","","","",""
"801","","121400","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","72","img/motor_5.png","72","motor","5","32","1","0","0","",""
"null","","121510","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_5.png","72","motor","","","","","","",""
"470","","121988","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","74","img/motor_6.png","74","motor","6","33","1","0","0","",""
"null","","122095","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_6.png","74","motor","","","","","","",""
"460","","122563","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","75","img/motor_7.png","75","motor","7","34","1","0","0","",""
"null","","122671","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_7.png","75","motor","","","","","","",""
"653","","123333","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","70","img/motor_4.png","70","motor","4","35","1","0","0","",""
"null","","123444","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_4.png","70","motor","","","","","","",""
"428","","123881","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","65","img/motor_1.png","65","motor","1","36","1","0","0","",""
"null","","123992","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_1.png","65","motor","","","","","","",""
"663","","124664","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","75","img/motor_7.png","75","motor","7","37","1","0","0","",""
"null","","124774","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_7.png","75","motor","","","","","","",""
"635","","125417","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","74","img/motor_6.png","74","motor","6","38","1","0","0","",""
"null","","125526","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_6.png","74","motor","","","","","","",""
"700","","126234","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","70","img/motor_4.png","70","motor","4","39","1","0","0","",""
"null","","126342","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_4.png","70","motor","","","","","","",""
"771","","127123","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","74","img/motor_6.png","74","motor","6","40","1","0","0","",""
"null","","127232","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_6.png","74","motor","","","","","","",""
"692","","127932","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","83","img/motor_2.png","83","motor","2","41","1","0","0","",""
"null","","128042","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_2.png","83","motor","","","","","","",""
"573","","128624","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","76","img/motor_8.png","76","motor","8","42","1","0","0","",""
"null","","128733","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_8.png","76","motor","","","","","","",""
"539","","129282","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","83","img/motor_2.png","83","motor","2","43","1","0","0","",""
"null","","129392","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_2.png","83","motor","","","","","","",""
"790","","130190","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","72","img/motor_5.png","72","motor","5","44","1","0","0","",""
"null","","130299","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_5.png","72","motor","","","","","","",""
"888","","131194","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","68","img/motor_3.png","68","motor","3","45","1","0","0","",""
"null","","131304","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_3.png","68","motor","","","","","","",""
