id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline
6,6,forced,6,51,learn,4,7,0,1,0.400,0.499,0
6,6,forced,6,52,learn,8,8,1,1,1,1.068,0
6,6,forced,6,53,learn,4,4,0,0,0.600,0.838,0
6,6,forced,6,54,learn,4,4,1,1,0.600,0.683,0
6,6,forced,6,55,learn,7,7,0,0,0.800,0.964,0
6,6,forced,6,56,learn,1,1,1,1,1,1.017,0
6,6,forced,6,57,learn,5,5,1,1,1.100,1.133,0
6,6,forced,6,58,learn,1,5,0,1,0.100,0.126,0
6,6,forced,6,59,learn,1,1,1,1,0.400,0.356,0
6,6,forced,6,60,learn,3,3,1,1,0.500,0.578,0
6,6,forced,6,61,learn,5,2,0,1,0.300,0.351,0
6,6,forced,6,62,learn,4,3,0,1,0.800,0.787,0
6,6,forced,6,63,learn,2,4,0,0,0.600,0.772,0
6,6,forced,6,64,learn,1,1,1,1,0.400,0.395,0
6,6,forced,6,65,learn,5,2,0,0,0.400,0.627,0
6,6,forced,6,66,learn,3,3,0,0,0.100,0.328,0
6,6,forced,6,67,learn,4,4,1,1,1.100,1.130,0
6,6,forced,6,68,learn,8,8,1,1,1.100,1.153,0
6,6,forced,6,69,learn,7,6,0,0,0.400,0.583,0
6,6,forced,6,70,learn,6,6,0,0,0.600,0.773,0
6,6,forced,6,71,learn,5,5,0,0,0.200,0.422,0
6,6,forced,6,72,learn,5,5,1,1,0.900,0.975,0
6,6,forced,6,73,learn,3,3,1,1,0.800,0.858,0
6,6,forced,6,74,learn,1,1,1,1,1.200,1.201,0
6,6,forced,6,75,learn,1,1,0,0,0.600,0.474,0
6,6,forced,6,76,learn,8,8,0,0,0.600,2.401,0
6,6,forced,6,77,learn,4,3,0,1,1.200,1.187,0
6,6,forced,6,78,learn,8,8,0,0,0.400,0.508,0
6,6,forced,6,79,learn,3,3,1,1,1,0.940,0
6,6,forced,6,80,learn,3,3,1,1,1,1.027,0
6,6,forced,6,81,learn,4,4,0,0,0.200,0.469,0
6,6,forced,6,82,learn,1,1,0,0,1.200,1.305,0
6,6,forced,6,83,learn,4,4,1,1,0.600,0.561,0
6,6,forced,6,84,learn,6,2,0,1,0.500,0.539,0
6,6,forced,6,85,learn,4,4,1,1,0.700,0.688,0
6,6,forced,6,86,learn,5,5,1,1,1.200,1.154,0
6,6,forced,6,87,learn,8,6,0,1,0.400,0.381,0
6,6,forced,6,88,learn,5,5,1,1,0.900,0.807,0
6,6,forced,6,89,learn,1,5,0,0,0.200,0.386,0
6,6,forced,6,90,learn,7,6,0,0,0.300,0.446,0
6,6,forced,6,91,learn,7,7,1,1,0.700,0.602,0
6,6,forced,6,92,learn,5,6,0,1,0.600,0.573,0
6,6,forced,6,93,learn,1,5,0,1,1.100,1.025,0
6,6,forced,6,94,learn,7,7,1,1,1.200,1.129,0
