"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy","responses"
"501","608329","HierDyjz7vkxeh","sub13","01","1","motor","68","img/motor_3.png","68","motor","3","122","1","0","0","","",""
"null","608437","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"366","608811","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_8.png","76","motor","8","123","1","0","0","","",""
"null","608920","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"421","609346","HierDyjz7vkxeh","sub13","01","1","motor","65","img/motor_1.png","65","motor","1","124","1","0","0","","",""
"null","609454","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"416","609879","HierDyjz7vkxeh","sub13","01","1","motor","70","img/motor_4.png","70","motor","4","125","1","0","0","","",""
"null","609987","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"407","610402","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","126","1","0","0","","",""
"null","610511","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"404","610923","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","127","1","0","0","","",""
"null","611031","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"420","611459","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_8.png","76","motor","8","128","1","0","0","","",""
"null","611568","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"581","612157","HierDyjz7vkxeh","sub13","01","1","motor","83","img/motor_2.png","83","motor","2","129","1","0","0","","",""
"null","612266","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"435","612709","HierDyjz7vkxeh","sub13","01","1","motor","65","img/motor_1.png","65","motor","1","130","1","0","0","","",""
"null","612818","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"615","613441","HierDyjz7vkxeh","sub13","01","1","motor","74","img/motor_6.png","74","motor","6","131","1","0","0","","",""
"null","613549","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"472","614028","HierDyjz7vkxeh","sub13","01","1","motor","68","img/motor_3.png","68","motor","3","132","1","0","0","","",""
"null","614137","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"380","614524","HierDyjz7vkxeh","sub13","01","1","motor","65","img/motor_1.png","65","motor","1","133","1","0","0","","",""
"null","614633","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"428","615069","HierDyjz7vkxeh","sub13","01","1","motor","70","img/motor_4.png","70","motor","4","134","1","0","0","","",""
"null","615177","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"496","615681","HierDyjz7vkxeh","sub13","01","1","motor","74","img/motor_6.png","74","motor","6","135","1","0","0","","",""
"null","615789","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"376","616172","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_8.png","76","motor","8","136","1","0","0","","",""
"null","616280","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"506","616793","HierDyjz7vkxeh","sub13","01","1","motor","83","img/motor_2.png","83","motor","2","137","1","0","0","","",""
"null","616901","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"441","617350","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_8.png","76","motor","8","138","1","0","0","","",""
"null","617460","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"497","617964","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","139","1","0","0","","",""
"null","618072","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"350","618431","HierDyjz7vkxeh","sub13","01","1","motor","65","img/motor_1.png","65","motor","1","140","1","0","0","","",""
"null","618540","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"496","619044","HierDyjz7vkxeh","sub13","01","1","motor","68","img/motor_3.png","68","motor","3","141","1","0","0","","",""
"null","619154","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"638","619798","HierDyjz7vkxeh","sub13","01","1","motor","74","img/motor_6.png","74","motor","6","142","1","0","0","","",""
"null","619906","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"307","620220","HierDyjz7vkxeh","sub13","01","1","motor","65","img/motor_1.png","65","motor","1","143","1","0","0","","",""
