rt,time_elapsed,subject,subID,group,day,trialType,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy,responses
1611,619132,HierDy3zhkyz9e,sub03,3,1,motor,83,img/motor_2.png,83,motor,2,127,1,0,0,,,
null,619244,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_2.png,83,motor,,,,,,,,
932,620185,HierDy3zhkyz9e,sub03,3,1,motor,70,img/motor_4.png,70,motor,4,128,1,0,0,,,
null,620296,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_4.png,70,motor,,,,,,,,
994,621301,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_2.png,83,motor,2,129,0,1,0,,,
2633,623942,HierDy3zhkyz9e,sub03,3,1,motorRepeat,83,img/motor_2.png,83,motor,2,129,1,0,0,,,
null,624053,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_2.png,83,motor,,,,,,,,
428,624493,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,130,1,0,0,,,
null,624606,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
887,625504,HierDy3zhkyz9e,sub03,3,1,motor,74,img/motor_6.png,74,motor,6,131,1,0,0,,,
null,625616,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
355,625980,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_7.png,75,motor,7,132,1,0,0,,,
null,626091,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_7.png,75,motor,,,,,,,,
448,626548,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_7.png,75,motor,7,133,1,0,0,,,
null,626658,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_7.png,75,motor,,,,,,,,
866,627535,HierDy3zhkyz9e,sub03,3,1,motor,70,img/motor_4.png,70,motor,4,134,1,0,0,,,
null,627645,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_4.png,70,motor,,,,,,,,
398,628055,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,135,1,0,0,,,
null,628165,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
