"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy","responses"
"null","234517","HierDyvyunofds","01","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"405","234929","HierDyvyunofds","01","01","1","motor","83","img/motor_2.png","83","motor","2","79","1","0","0","","",""
"null","235039","HierDyvyunofds","01","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"399","235449","HierDyvyunofds","01","01","1","motor","76","img/motor_7.png","75","motor","7","80","0","1","0","","",""
"311","235770","HierDyvyunofds","01","01","1","motorRepeat","75","img/motor_7.png","75","motor","7","80","1","0","0","","",""
"null","235880","HierDyvyunofds","01","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"597","236484","HierDyvyunofds","01","01","1","motor","83","img/motor_2.png","83","motor","2","81","1","0","0","","",""
"null","236596","HierDyvyunofds","01","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"444","237049","HierDyvyunofds","01","01","1","motor","68","img/motor_3.png","68","motor","3","82","1","0","0","","",""
"null","237159","HierDyvyunofds","01","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"504","237671","HierDyvyunofds","01","01","1","motor","74","img/motor_6.png","74","motor","6","83","1","0","0","","",""
"null","237782","HierDyvyunofds","01","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"431","238222","HierDyvyunofds","01","01","1","motor","83","img/motor_2.png","83","motor","2","84","1","0","0","","",""
"null","238331","HierDyvyunofds","01","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"906","239248","HierDyvyunofds","01","01","1","motor","70","img/motor_4.png","70","motor","4","85","1","0","0","","",""
"null","239359","HierDyvyunofds","01","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"480","239847","HierDyvyunofds","01","01","1","motor","65","img/motor_1.png","65","motor","1","86","1","0","0","","",""
"null","239958","HierDyvyunofds","01","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"362","240330","HierDyvyunofds","01","01","1","motor","65","img/motor_1.png","65","motor","1","87","1","0","0","","",""
"null","240441","HierDyvyunofds","01","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"481","240931","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","88","1","0","0","","",""
"null","241042","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"352","241404","HierDyvyunofds","01","01","1","motor","65","img/motor_1.png","65","motor","1","89","1","0","0","","",""
