"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"413","120083","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","49","1","0","0","",""
"null","120194","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"471","120674","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","50","1","0","0","",""
"null","120786","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"352","121147","HierDywwo7grap","02","02","8","motor","65","img/motor_1.png","65","motor","1","51","1","0","0","",""
"null","121257","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"444","121709","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","52","1","0","0","",""
"null","121820","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"580","122408","HierDywwo7grap","02","02","8","motor","74","img/motor_6.png","74","motor","6","53","1","0","0","",""
"null","122518","HierDywwo7grap","02","02","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"532","123058","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","54","1","0","0","",""
"null","123168","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"471","123650","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","55","1","0","0","",""
"null","123761","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"495","124266","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","56","1","0","0","",""
"null","124376","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"549","124933","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","57","1","0","0","",""
"null","125043","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"795","125850","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","58","1","0","0","",""
"null","125963","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"400","126374","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","59","1","0","0","",""
"null","126483","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"504","126995","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","60","1","0","0","",""
"null","127106","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"699","127813","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","61","1","0","0","",""
"null","127924","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"618","128552","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","62","1","0","0","",""
"null","128663","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"564","129237","HierDywwo7grap","02","02","8","motor","74","img/motor_6.png","74","motor","6","63","1","0","0","",""
"null","129348","HierDywwo7grap","02","02","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"477","129837","HierDywwo7grap","02","02","8","motor","65","img/motor_1.png","65","motor","1","64","1","0","0","",""
"null","129947","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"480","130438","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","65","1","0","0","",""
"null","130549","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"552","131111","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","66","1","0","0","",""
"null","131223","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"581","131813","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","67","1","0","0","",""
"null","131924","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"517","132452","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","68","1","0","0","",""
"null","132562","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
