"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy","responses"
"null","2689977","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"708","2690695","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","50","1","0","0","","",""
"null","2690806","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"623","2691439","HierDy55os536l","sub08","08","1","motor","72","img/motor_5.png","72","motor","5","51","1","0","0","","",""
"null","2691549","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"656","2692215","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","52","1","0","0","","",""
"null","2692325","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"664","2692999","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","53","1","0","0","","",""
"null","2693108","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"519","2693636","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","54","1","0","0","","",""
"null","2693746","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"538","2694293","HierDy55os536l","sub08","08","1","motor","83","img/motor_2.png","83","motor","2","55","1","0","0","","",""
"null","2694405","HierDy55os536l","sub08","08","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"587","2695001","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","56","1","0","0","","",""
"null","2695111","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"555","2695675","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","57","1","0","0","","",""
"null","2695786","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"626","2696422","HierDy55os536l","sub08","08","1","motor","75","img/motor_7.png","75","motor","7","58","1","0","0","","",""
"null","2696532","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"719","2697261","HierDy55os536l","sub08","08","1","motor","74","img/motor_6.png","74","motor","6","59","1","0","0","","",""
"null","2697371","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"46","2697425","HierDy55os536l","sub08","08","1","motor","74","img/motor_5.png","72","motor","5","60","0","1","0","","",""
"509","2697943","HierDy55os536l","sub08","08","1","motorRepeat","72","img/motor_5.png","72","motor","5","60","1","0","0","","",""
"null","2698053","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"479","2698540","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","61","1","0","0","","",""
"null","2698651","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"417","2699078","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","62","1","0","0","","",""
"null","2699188","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"485","2699681","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","63","1","0","0","","",""
"null","2699792","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"592","2700396","HierDy55os536l","sub08","08","1","motor","75","img/motor_6.png","74","motor","6","64","0","1","0","","",""
"252","2700660","HierDy55os536l","sub08","08","1","motorRepeat","74","img/motor_6.png","74","motor","6","64","1","0","0","","",""
"null","2700770","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"572","2701353","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","65","1","0","0","","",""
"null","2701465","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"676","2702152","HierDy55os536l","sub08","08","1","motor","72","img/motor_5.png","72","motor","5","66","1","0","0","","",""
"null","2702263","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"584","2702858","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","67","1","0","0","","",""
"null","2702968","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"613","2703590","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","68","1","0","0","","",""
"null","2703703","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"626","2704341","HierDy55os536l","sub08","08","1","motor","83","img/motor_2.png","83","motor","2","69","1","0","0","","",""
"null","2704452","HierDy55os536l","sub08","08","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"578","2705040","HierDy55os536l","sub08","08","1","motor","72","img/motor_5.png","72","motor","5","70","1","0","0","","",""
"null","2705151","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"627","2705787","HierDy55os536l","sub08","08","1","motor","74","img/motor_6.png","74","motor","6","71","1","0","0","","",""
"null","2705899","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
