"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"null","","6675567","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"869","","6676444","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","68","img/motor_3.png","68","motor","3","30","1","0","0","",""
"null","","6676559","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"629","","6677196","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","65","img/motor_1.png","65","motor","1","31","1","0","0","",""
"null","","6677304","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"924","","6678237","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","72","img/motor_8.png","76","motor","8","32","0","1","0","",""
"448","","6678693","HierDyac0s1z15","2ufgfxgetv","msl000300","motorRepeat","","76","img/motor_8.png","76","motor","8","32","1","0","0","",""
"null","","6678800","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"708","","6679523","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","70","img/motor_4.png","70","motor","4","33","1","0","0","",""
"null","","6679638","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"870","","6680523","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","75","img/motor_7.png","75","motor","7","34","1","0","0","",""
"null","","6680638","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"615","","6681267","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","65","img/motor_1.png","65","motor","1","35","1","0","0","",""
"null","","6681382","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"742","","6682133","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","75","img/motor_7.png","75","motor","7","36","1","0","0","",""
"null","","6682241","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"628","","6682883","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","70","img/motor_4.png","70","motor","4","37","1","0","0","",""
"null","","6682998","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"719","","6683725","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","83","img/motor_2.png","83","motor","2","38","1","0","0","",""
"null","","6683839","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"573","","6684427","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","76","img/motor_8.png","76","motor","8","39","1","0","0","",""
"null","","6684536","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"677","","6685227","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","68","img/motor_3.png","68","motor","3","40","1","0","0","",""
"null","","6685342","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"575","","6685931","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","74","img/motor_6.png","74","motor","6","41","1","0","0","",""
"null","","6686046","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"942","","6687003","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","68","img/motor_3.png","68","motor","3","42","1","0","0","",""
"null","","6687118","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"758","","6687891","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","76","img/motor_8.png","76","motor","8","43","1","0","0","",""
"null","","6688000","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"741","","6688755","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","75","img/motor_7.png","75","motor","7","44","1","0","0","",""
"null","","6688863","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_7.png","75","motor","","","","","","",""
