"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2","includeLearn","timing_chill"
"26746","8",2,"forced",9,71,"learn",8,8,1,1,1.2,1.09,0,61,"R",2,1,1,1,1,1,1,"R",2,1,1,8,71,-0.11,"11","10","sw/sw/sw","6",1,1,"1/1/1",1,"1/1/1",1,1
"26747","8",2,"forced",9,72,"learn",8,8,1,1,0.6,0.566,0,62,"R",2,0,0,0,0,0,0,"R",2,1,1,8,72,-0.034,"4","5","rep/rep/rep","0",8,0,"1/1/1",1,"1/1/1",1,1
"26748","8",2,"forced",9,73,"learn",6,6,1,0,0.6,0.72,0,57,"R",1,0,1,1,0,1,1,"R",1,1,1,6,73,0.12,"6","5","rep/sw/sw","4",8,1,"1/1/1",1,"1/1/1",1,1
"26749","8",2,"forced",9,74,"learn",4,2,0,1,0.6,0.601,0,62,"L",2,1,1,1,1,0,1,"L",1,1,0,4,74,0.001,"5","5","sw/rep/sw","6",6,2,"1/0/0",1,"1/0/1",1,1
"26750","8",2,"forced",9,76,"learn",5,5,1,1,1,0.947,0,56,"R",1,1,0,1,1,1,1,"R",1,1,1,5,76,-0.053,"9","8","sw/sw/sw","6",4,1,"1/1/1",1,"1/1/1",1,1
"26751","8",2,"forced",9,77,"learn",6,6,1,0,1.2,1.073,0,58,"R",1,0,0,1,0,0,1,"R",1,1,1,6,77,-0.127,"11","10","rep/rep/sw","2",5,1,"1/1/1",1,"1/1/1",1,1
"26752","8",2,"forced",9,78,"learn",3,3,1,1,1,0.986,0,59,"L",2,1,1,1,1,1,1,"L",2,1,1,3,78,-0.014,"10","8","sw/sw/sw","6",6,1,"1/1/1",1,"1/1/1",1,1
"26753","8",2,"forced",9,79,"learn",1,3,0,1,0.1,0.063,0,57,"L",1,0,1,1,0,0,0,"L",2,1,0,1,79,-0.037,"1","1","rep/rep/rep","0",3,1,"1/0/0",1,"1/0/1",1,1
"26754","8",2,"forced",9,80,"learn",8,7,0,1,0.7,0.712,0,63,"R",2,1,1,1,1,0,1,"R",2,1,1,8,80,0.012,"6","5","sw/rep/sw","6",1,1,"1/1/0",0,"1/1/0",1,1
"26755","8",2,"forced",9,81,"learn",4,4,1,0,1.1,0.967,0,63,"L",2,1,0,1,1,0,1,"L",2,1,1,4,81,-0.133,"10","9","sw/rep/sw","6",8,3,"1/1/1",1,"1/1/1",1,1
"26756","8",2,"forced",9,82,"learn",2,2,1,1,1.2,1.111,0,58,"L",1,0,1,1,0,1,1,"L",1,1,1,2,82,-0.089,"11","10","rep/sw/sw","4",4,1,"1/1/1",1,"1/1/1",1,1
"26757","8",2,"forced",9,83,"learn",3,5,0,1,0.9,0.822,0,60,"L",2,0,1,1,1,0,1,"R",1,0,0,3,83,-0.0780000000000001,"8","7","sw/rep/sw","6",2,2,"0/0/0",1,"0/0/1",1,1
"26758","8",2,"forced",9,84,"learn",5,5,1,1,0.6,0.582,0,57,"R",1,1,1,1,0,0,0,"R",1,1,1,5,84,-0.018,"4","5","rep/rep/rep","0",3,2,"1/1/1",1,"1/1/1",1,1
"26759","8",2,"forced",9,85,"learn",3,3,1,1,1,0.931,0,61,"L",2,1,1,1,1,1,1,"L",2,1,1,3,85,-0.069,"9","8","sw/sw/sw","6",5,2,"1/1/1",1,"1/1/1",1,1
"26760","8",2,"forced",9,87,"learn",4,7,0,1,0.2,0.126,0,64,"L",2,1,0,1,0,0,0,"R",2,0,1,4,87,-0.074,"1","1","rep/rep/rep","0",3,1,"0/1/0",0,"0/1/0",1,1
"26761","8",2,"forced",9,88,"learn",2,2,1,1,1.1,1.036,0,59,"L",1,0,1,1,1,1,1,"L",1,1,1,2,88,-0.0640000000000001,"10","9","sw/sw/sw","6",4,1,"1/1/1",1,"1/1/1",1,1
"26762","8",2,"forced",9,89,"learn",8,6,0,1,0.2,0.292,0,64,"R",2,1,1,1,1,0,1,"R",1,1,0,8,89,0.092,"2","1","sw/rep/sw","6",2,2,"1/0/0",1,"1/0/1",1,1
"26763","8",2,"forced",9,90,"learn",4,4,1,1,0.4,0.48,0,65,"L",2,1,0,1,1,1,1,"L",2,1,1,4,90,0.08,"3","3","sw/sw/sw","6",8,3,"1/1/1",1,"1/1/1",1,1
"26764","8",2,"forced",9,91,"learn",5,8,0,1,0.1,0.103,0,58,"R",1,1,1,1,1,0,1,"R",2,1,0,5,91,0.00299999999999999,"1","1","sw/rep/sw","6",4,1,"1/0/0",0,"1/0/0",1,1
"26765","8",2,"forced",9,92,"learn",1,1,1,1,0.9,0.931,0,58,"L",1,1,0,1,1,1,1,"L",1,1,1,1,92,0.031,"9","7","sw/sw/sw","6",5,3,"1/1/1",1,"1/1/1",1,1
"26766","8",2,"forced",9,93,"learn",5,5,1,1,0.3,0.232,0,59,"R",1,1,0,1,1,0,1,"R",1,1,1,5,93,-0.068,"2","2","sw/rep/sw","6",1,3,"1/1/1",1,"1/1/1",1,1
"26767","8",2,"forced",9,94,"learn",7,7,1,0,0.1,0.457,0,54,"R",2,0,1,1,0,1,1,"R",2,1,1,7,94,0.357,"3","1","rep/sw/sw","4",5,1,"1/1/1",1,"1/1/1",1,NA
"26768","8",2,"forced",9,95,"learn",3,3,1,0,0.6,0.47,0,62,"L",2,1,0,1,1,0,1,"L",2,1,1,3,95,-0.13,"3","5","sw/rep/sw","6",7,3,"1/1/1",1,"1/1/1",1,1
"26769","8",2,"forced",9,96,"learn",5,7,0,0,1.1,0.99,0,60,"R",1,1,1,1,1,0,1,"R",2,1,0,5,96,-0.11,"10","9","sw/rep/sw","6",3,2,"1/0/0",1,"1/0/1",1,1
"26770","8",2,"forced",10,1,"learn",4,4,1,0,0.7,0.595,0,66,"L",2,NA,NA,NA,NA,NA,NA,"L",2,1,1,4,1,-0.105,"5","5",NA,NA,5,NA,"1/1/1",1,"1/1/1",1,1
"26771","8",2,"forced",10,2,"learn",2,2,1,1,0.9,0.82,0,60,"L",1,0,1,1,0,1,1,"L",1,1,1,2,2,-0.0800000000000001,"8","7","rep/sw/sw","4",4,1,"1/1/1",1,"1/1/1",1,1
"26772","8",2,"forced",10,3,"learn",8,7,0,1,0.5,0.492,0,65,"R",2,1,1,1,1,1,1,"R",2,1,1,8,3,-0.00800000000000001,"3","4","sw/sw/sw","6",2,2,"1/1/0",0,"1/1/0",1,1
"26773","8",2,"forced",10,4,"learn",4,4,1,1,0.7,0.639,0,67,"L",2,1,0,1,1,0,1,"L",2,1,1,4,4,-0.0609999999999999,"5","5","sw/rep/sw","6",8,3,"1/1/1",1,"1/1/1",1,1
"26774","8",2,"forced",10,5,"learn",2,6,0,1,1,0.907,0,61,"L",1,0,1,1,1,1,1,"R",1,0,1,2,5,-0.093,"9","8","sw/sw/sw","6",4,1,"0/1/0",1,"0/1/1",1,1
"26775","8",2,"forced",10,6,"learn",1,1,1,0,1.1,0.939,0,59,"L",1,0,0,1,1,0,1,"L",1,1,1,1,6,-0.161,"9","9","sw/rep/sw","6",2,1,"1/1/1",1,"1/1/1",1,1
"26776","8",2,"forced",10,7,"learn",7,7,1,1,0.9,0.85,0,55,"R",2,1,1,1,1,1,1,"R",2,1,1,7,7,-0.05,"8","7","sw/sw/sw","6",1,2,"1/1/1",1,"1/1/1",1,1
"26777","8",2,"forced",10,8,"learn",2,5,0,1,0.6,0.626,0,62,"L",1,1,1,1,0,1,1,"R",1,0,1,2,8,0.026,"5","5","rep/sw/sw","4",7,1,"0/1/0",0,"0/1/0",1,1
"26778","8",2,"forced",10,9,"learn",2,2,1,1,1,0.942,0,63,"L",1,0,0,0,1,0,1,"L",1,1,1,2,9,-0.0580000000000001,"9","8","sw/rep/sw","6",2,0,"1/1/1",1,"1/1/1",1,1
"26779","8",2,"forced",10,10,"learn",1,4,0,0,0.4,0.269,0,60,"L",1,0,0,1,0,1,1,"L",2,1,0,1,10,-0.131,"2","3","rep/sw/sw","4",2,1,"1/0/0",0,"1/0/0",1,1
"26780","8",2,"forced",10,11,"learn",3,4,0,1,0.6,0.575,0,63,"L",2,0,1,1,0,0,0,"L",2,1,1,3,11,-0.025,"4","5","rep/rep/rep","0",1,1,"1/1/0",0,"1/1/0",1,1
"26781","8",2,"forced",10,12,"learn",1,2,0,0,0.2,0.422,0,61,"L",1,0,1,1,0,1,1,"L",1,1,1,1,12,0.222,"2","1","rep/sw/sw","4",3,1,"1/1/0",0,"1/1/0",1,1
"26782","8",2,"forced",10,13,"learn",7,7,1,0,0.3,0.504,0,56,"R",2,1,1,1,1,1,1,"R",2,1,1,7,13,0.204,"3","2","sw/sw/sw","6",1,2,"1/1/1",1,"1/1/1",1,1
"26783","8",2,"forced",10,14,"learn",2,7,0,0,0.3,0.174,0,64,"L",1,1,1,1,0,0,0,"R",2,0,0,2,14,-0.126,"1","2","rep/rep/rep","0",7,1,"0/0/0",0,"0/0/0",1,1
"26784","8",2,"forced",10,15,"learn",6,2,0,1,0.1,0.089,0,59,"R",1,1,0,1,1,1,1,"L",1,0,1,6,15,-0.011,"1","1","sw/sw/sw","6",2,3,"0/1/0",1,"0/1/1",1,1
"26785","8",2,"forced",10,16,"learn",3,4,0,0,0.6,0.718,0,64,"L",2,1,1,1,0,1,1,"L",2,1,1,3,16,0.118,"6","5","rep/sw/sw","4",6,1,"1/1/0",0,"1/1/0",1,1
"26786","8",2,"forced",10,17,"learn",7,4,0,1,1,0.918,0,57,"R",2,1,0,1,0,0,0,"L",2,0,1,7,17,-0.082,"9","8","rep/rep/rep","0",3,3,"0/1/0",0,"0/1/0",1,1
"26787","8",2,"forced",10,18,"learn",5,5,1,1,0.6,0.645,0,61,"R",1,0,1,1,1,1,1,"R",1,1,1,5,18,0.045,"5","5","sw/sw/sw","6",7,1,"1/1/1",1,"1/1/1",1,1
"26788","8",2,"forced",10,19,"learn",2,2,1,1,0.4,0.351,0,65,"L",1,1,0,1,1,0,1,"L",1,1,1,2,19,-0.049,"2","3","sw/rep/sw","6",5,2,"1/1/1",1,"1/1/1",1,1
