"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","stimulus","key_press","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"null","","1985775","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"1388","","1987172","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_c_check.png","76","76","test","8","237","1","","","","pattern,shape,color"
"null","","1988182","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"1301","","1989491","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/o_c_diag.png","70","83","test","2","238","0","","","","pattern,shape,color"
"null","","1990500","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/boo.png","null","na","test","","","","","","",""
"1015","","1991524","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_c_diag.png","65","65","test","1","239","1","","","","pattern,shape,color"
"null","","1992532","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"984","","1993527","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/o_t_check.png","74","72","test","5","240","0","","","","pattern,shape,color"
"null","","1994535","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/boo.png","null","na","test","","","","","","",""
"1020","","1995563","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_c_check.png","75","76","test","8","241","0","","","","pattern,shape,color"
"null","","1996572","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/boo.png","null","na","test","","","","","","",""
"1614","","1998194","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_c_diag.png","70","65","test","1","242","0","","","","pattern,shape,color"
"null","","1999202","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/boo.png","null","na","test","","","","","","",""
"1101","","2000315","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_t_check.png","72","74","test","6","243","0","","","","pattern,shape,color"
"null","","2001325","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/boo.png","null","na","test","","","","","","",""
"1165","","2002500","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/o_t_diag.png","70","70","test","4","244","1","","","","pattern,shape,color"
"null","","2003509","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"1256","","2004779","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/o_c_check.png","75","75","test","7","245","1","","","","pattern,shape,color"
"null","","2005790","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"1252","","2007054","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/o_t_diag.png","70","70","test","4","246","1","","","","pattern,shape,color"
"null","","2008064","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"1411","","2009482","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_t_diag.png","68","68","test","3","247","1","","","","pattern,shape,color"
"null","","2010493","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"1566","","2012067","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/o_t_check.png","76","72","test","5","248","0","","","","pattern,shape,color"
"null","","2013078","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/boo.png","null","na","test","","","","","","",""
"953","","2014039","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/o_t_check.png","74","72","test","5","249","0","","","","pattern,shape,color"
"null","","2015047","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/boo.png","null","na","test","","","","","","",""
"1861","","2016920","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/o_c_diag.png","83","83","test","2","250","1","","","","pattern,shape,color"
