"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","stimulus","key_press","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"439","","244152","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","65","83","motor","2","202","0","1","0","",""
"365","","244527","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_2.png","83","83","motor","2","202","1","0","0","",""
"null","","244638","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"476","","245124","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_8.png","76","76","motor","8","203","1","0","0","",""
"null","","245235","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"578","","245822","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_7.png","74","75","motor","7","204","0","1","0","",""
"181","","246013","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_7.png","75","75","motor","7","204","1","0","0","",""
"null","","246122","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"478","","246610","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_5.png","72","72","motor","5","205","1","0","0","",""
"null","","246721","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"684","","247414","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","68","68","motor","3","206","1","0","0","",""
"null","","247524","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"428","","247961","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","65","65","motor","1","207","1","0","0","",""
"null","","248070","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"408","","248488","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","65","65","motor","1","208","1","0","0","",""
"null","","248598","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"543","","249152","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_6.png","75","74","motor","6","209","0","1","0","",""
"261","","249421","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_6.png","74","74","motor","6","209","1","0","0","",""
"null","","249532","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"718","","250260","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","68","68","motor","3","210","1","0","0","",""
"null","","250370","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"889","","251269","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_6.png","75","74","motor","6","211","0","1","0","",""
"4","","251280","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_6.png","74","74","motor","6","211","1","0","0","",""
"null","","251389","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"502","","251900","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","65","68","motor","3","212","0","1","0","",""
"26","","251933","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_3.png","70","68","motor","3","212","0","1","0","",""
"12","","251953","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_3.png","68","68","motor","3","212","1","0","0","",""
"null","","252064","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"395","","252468","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","68","68","motor","3","213","1","0","0","",""
"null","","252578","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"418","","253006","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_4.png","65","70","motor","4","214","0","1","0","",""
"19","","253033","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_4.png","74","70","motor","4","214","0","1","0","",""
"154","","253196","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_4.png","70","70","motor","4","214","1","0","0","",""
"null","","253307","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"387","","253701","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","74","68","motor","3","215","0","1","0","",""
"245","","253952","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_3.png","65","68","motor","3","215","0","1","0","",""
"2","","253962","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_3.png","68","68","motor","3","215","1","0","0","",""
"null","","254073","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"328","","254410","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_4.png","68","70","motor","4","216","0","1","0","",""
"281","","254701","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_4.png","70","70","motor","4","216","1","0","0","",""
"null","","254812","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"578","","255399","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_8.png","74","76","motor","8","217","0","1","0","",""
"314","","255722","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_8.png","75","76","motor","8","217","0","1","0","",""
"266","","255998","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_8.png","76","76","motor","8","217","1","0","0","",""
"null","","256108","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"592","","256710","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","65","83","motor","2","218","0","1","0","",""
"362","","257082","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_2.png","83","83","motor","2","218","1","0","0","",""
"null","","257193","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"636","","257837","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_7.png","74","75","motor","7","219","0","1","0","",""
"318","","258164","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_7.png","75","75","motor","7","219","1","0","0","",""
"null","","258275","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"1045","","259330","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","65","65","motor","1","220","1","0","0","",""
"null","","259440","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"478","","259925","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","83","83","motor","2","221","1","0","0","",""
"null","","260033","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"541","","260582","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_6.png","75","74","motor","6","222","0","1","0","",""
"222","","260813","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_6.png","74","74","motor","6","222","1","0","0","",""
"null","","260922","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"518","","261448","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_8.png","76","76","motor","8","223","1","0","0","",""
"null","","261558","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"458","","262024","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","83","83","motor","2","224","1","0","0","",""
"null","","262133","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"445","","262588","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_4.png","70","70","motor","4","225","1","0","0","",""
"null","","262697","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"473","","263179","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","83","83","motor","2","226","1","0","0","",""
"null","","263289","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"514","","263814","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_6.png","74","74","motor","6","227","1","0","0","",""
"null","","263921","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"646","","264578","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","68","68","motor","3","228","1","0","0","",""
"null","","264689","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"644","","265346","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_7.png","75","75","motor","7","229","1","0","0","",""
"null","","265455","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"450","","265915","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","83","83","motor","2","230","1","0","0","",""
