"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"1031","441891","HierDyvc8ryfj5","01","01","8","rl","72","img/r_c_dots.png","72","test","5","49","1","","","color,shape,pattern",""
"null","442903","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","49","","","","",""
"450","443365","HierDyvc8ryfj5","01","01","8","rl","72","img/r_c_dots.png","72","test","5","50","1","","","color,shape,pattern",""
"null","444377","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","50","","","","",""
"774","445161","HierDyvc8ryfj5","01","01","8","rl","76","img/r_s_stripes.png","76","test","8","51","1","","","color,shape,pattern",""
"null","446173","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","51","","","","",""
"508","446692","HierDyvc8ryfj5","01","01","8","rl","75","img/r_s_dots.png","75","test","7","52","1","","","color,shape,pattern",""
"null","447704","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","52","","","","",""
"718","448437","HierDyvc8ryfj5","01","01","8","rl","76","img/r_s_stripes.png","76","test","8","53","1","","","color,shape,pattern",""
"null","449452","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","53","","","","",""
"700","450165","HierDyvc8ryfj5","01","01","8","rl","70","img/b_s_stripes.png","70","test","4","54","1","","","color,shape,pattern",""
"null","451180","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","54","","","","",""
"635","451827","HierDyvc8ryfj5","01","01","8","rl","68","img/b_s_dots.png","68","test","3","55","1","","","color,shape,pattern",""
"null","452841","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","55","","","","",""
"815","453671","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_stripes.png","74","test","6","56","1","","","color,shape,pattern",""
"null","454686","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","56","","","","",""
"558","455255","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_stripes.png","83","test","2","57","1","","","color,shape,pattern",""
"null","456267","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","57","","","","",""
"666","456945","HierDyvc8ryfj5","01","01","8","rl","65","img/b_c_dots.png","65","test","1","58","1","","","color,shape,pattern",""
