"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","day","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2","includeLearn","timing_chill"
"6044","sub27",3,"forced",5,68,"learn",3,3,1,1,1,0.938,0,8,12,"L",2,1,1,1,1,1,1,"L",2,1,1,3,68,-0.0620000000000001,"9","8","sw/sw/sw","6",5,2,"1/1/1",1,"1/1/1",1,1
"6045","sub27",3,"forced",5,69,"learn",1,1,1,1,1.1,1.138,0,8,7,"L",1,0,1,1,0,1,1,"L",1,1,1,1,69,0.0379999999999998,"11","9","rep/sw/sw","4",3,1,"1/1/1",1,"1/1/1",1,1
"6046","sub27",3,"forced",5,70,"learn",4,4,1,1,0.9,0.859,0,8,11,"L",2,0,1,1,0,1,1,"L",2,1,1,4,70,-0.041,"8","7","rep/sw/sw","4",1,2,"1/1/1",1,"1/1/1",1,1
"6047","sub27",3,"forced",5,71,"learn",5,5,1,0,0.3,0.443,0,8,10,"R",1,1,1,1,1,1,1,"R",1,1,1,5,71,0.143,"3","2","sw/sw/sw","6",4,1,"1/1/1",1,"1/1/1",1,1
"6048","sub27",3,"forced",5,72,"learn",5,5,1,0,0.1,0.412,0,8,11,"R",1,0,0,0,0,0,0,"R",1,1,1,5,72,0.312,"2","1","rep/rep/rep","0",5,0,"1/1/1",1,"1/1/1",1,NA
"6049","sub27",3,"forced",5,73,"learn",8,8,1,1,0.9,0.806,0,8,7,"R",2,0,1,1,0,1,1,"R",2,1,1,8,73,-0.094,"7","7","rep/sw/sw","4",5,2,"1/1/1",1,"1/1/1",1,1
"6050","sub27",3,"forced",5,74,"learn",1,1,1,1,0.5,0.493,0,8,8,"L",1,1,1,1,1,1,1,"L",1,1,1,1,74,-0.00700000000000001,"3","4","sw/sw/sw","6",8,1,"1/1/1",1,"1/1/1",1,1
"6051","sub27",3,"forced",5,75,"learn",3,3,1,1,0.9,0.859,0,8,13,"L",2,0,1,1,0,1,1,"L",2,1,1,3,75,-0.041,"8","7","rep/sw/sw","4",1,1,"1/1/1",1,"1/1/1",1,1
"6052","sub27",3,"forced",5,76,"learn",1,1,1,1,0.9,0.877,0,8,9,"L",1,0,1,1,0,1,1,"L",1,1,1,1,76,-0.023,"8","7","rep/sw/sw","4",3,1,"1/1/1",1,"1/1/1",1,1
"6053","sub27",3,"forced",5,77,"learn",2,2,1,0,0.2,0.516,0,8,7,"L",1,0,0,1,0,0,1,"L",1,1,1,2,77,0.316,"3","1","rep/rep/sw","2",1,1,"1/1/1",1,"1/1/1",1,NA
"6054","sub27",3,"forced",5,78,"learn",4,4,1,1,1.1,1.083,0,8,12,"L",2,0,1,1,0,1,1,"L",2,1,1,4,78,-0.0170000000000001,"11","9","rep/sw/sw","4",2,1,"1/1/1",1,"1/1/1",1,1
