"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"null","","1767423","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"606","","1768039","FlatDy038d2gdz","phxune23zj","msl000611","rl","74","img/p_s_stripes.png","74","test","6","387","1","","","","color,shape,pattern"
"null","","1769048","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"838","","1769898","FlatDy038d2gdz","phxune23zj","msl000611","rl","68","img/b_s_stripes.png","83","test","2","388","0","","","","color,shape,pattern"
"null","","1770910","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"463","","1771385","FlatDy038d2gdz","phxune23zj","msl000611","rl","83","img/b_c_stripes.png","76","test","8","389","0","","","","color,shape,pattern"
"null","","1772398","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"305","","1772712","FlatDy038d2gdz","phxune23zj","msl000611","rl","70","img/b_c_dots.png","65","test","1","390","0","","","","color,shape,pattern"
"null","","1773722","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1374","","1775107","FlatDy038d2gdz","phxune23zj","msl000611","rl","75","img/p_s_dots.png","75","test","7","391","1","","","","color,shape,pattern"
"null","","1776118","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1321","","1777451","FlatDy038d2gdz","phxune23zj","msl000611","rl","75","img/p_c_dots.png","68","test","3","392","0","","","","color,shape,pattern"
"null","","1778463","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"945","","1779419","FlatDy038d2gdz","phxune23zj","msl000611","rl","74","img/b_s_stripes.png","83","test","2","393","0","","","","color,shape,pattern"
"null","","1780432","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1040","","1781483","FlatDy038d2gdz","phxune23zj","msl000611","rl","75","img/p_c_dots.png","68","test","3","394","0","","","","color,shape,pattern"
"null","","1782496","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"988","","1783495","FlatDy038d2gdz","phxune23zj","msl000611","rl","75","img/p_s_dots.png","75","test","7","395","1","","","","color,shape,pattern"
"null","","1784507","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"636","","1785153","FlatDy038d2gdz","phxune23zj","msl000611","rl","72","img/b_c_stripes.png","76","test","8","396","0","","","","color,shape,pattern"
"null","","1786165","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"701","","1786875","FlatDy038d2gdz","phxune23zj","msl000611","rl","65","img/b_c_dots.png","65","test","1","397","1","","","","color,shape,pattern"
"null","","1787886","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1375","","1789272","FlatDy038d2gdz","phxune23zj","msl000611","rl","75","img/p_c_stripes.png","72","test","5","398","0","","","","color,shape,pattern"
"null","","1790283","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"479","","1790772","FlatDy038d2gdz","phxune23zj","msl000611","rl","83","img/b_c_stripes.png","76","test","8","399","0","","","","color,shape,pattern"
"null","","1791784","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"571","","1792366","FlatDy038d2gdz","phxune23zj","msl000611","rl","68","img/b_s_dots.png","70","test","4","400","0","","","","color,shape,pattern"
"null","","1793377","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"941","","1794331","FlatDy038d2gdz","phxune23zj","msl000611","rl","75","img/p_s_stripes.png","74","test","6","401","0","","","","color,shape,pattern"
"null","","1795342","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"2008","","1797362","FlatDy038d2gdz","phxune23zj","msl000611","rl","74","img/p_c_dots.png","68","test","3","402","0","","","","color,shape,pattern"
"null","","1798374","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"524","","1798909","FlatDy038d2gdz","phxune23zj","msl000611","rl","70","img/b_c_dots.png","65","test","1","403","0","","","","color,shape,pattern"
"null","","1799920","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1302","","1801232","FlatDy038d2gdz","phxune23zj","msl000611","rl","74","img/p_s_stripes.png","74","test","6","404","1","","","","color,shape,pattern"
"null","","1802245","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1060","","1803316","FlatDy038d2gdz","phxune23zj","msl000611","rl","75","img/p_s_dots.png","75","test","7","405","1","","","","color,shape,pattern"
"null","","1804330","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1516","","1805855","FlatDy038d2gdz","phxune23zj","msl000611","rl","72","img/b_s_stripes.png","83","test","2","406","0","","","","color,shape,pattern"
"null","","1806867","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"914","","1807795","FlatDy038d2gdz","phxune23zj","msl000611","rl","74","img/p_c_stripes.png","72","test","5","407","0","","","","color,shape,pattern"
"null","","1808808","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"640","","1809460","FlatDy038d2gdz","phxune23zj","msl000611","rl","83","img/b_c_dots.png","65","test","1","408","0","","","","color,shape,pattern"
"null","","1810473","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"402","","1810883","FlatDy038d2gdz","phxune23zj","msl000611","rl","65","img/b_s_dots.png","70","test","4","409","0","","","","color,shape,pattern"
"null","","1811900","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"379","","1812289","FlatDy038d2gdz","phxune23zj","msl000611","rl","75","img/b_s_dots.png","70","test","4","410","0","","","","color,shape,pattern"
"null","","1813300","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"344","","1813652","FlatDy038d2gdz","phxune23zj","msl000611","rl","74","img/b_c_stripes.png","76","test","8","411","0","","","","color,shape,pattern"
"null","","1814661","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"314","","1814986","FlatDy038d2gdz","phxune23zj","msl000611","rl","70","img/b_s_stripes.png","83","test","2","412","0","","","","color,shape,pattern"
"null","","1815995","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"248","","1816252","FlatDy038d2gdz","phxune23zj","msl000611","rl","83","img/p_s_dots.png","75","test","7","413","0","","","","color,shape,pattern"
"null","","1817261","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"344","","1817612","FlatDy038d2gdz","phxune23zj","msl000611","rl","75","img/b_s_stripes.png","83","test","2","414","0","","","","color,shape,pattern"
"null","","1818622","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"368","","1818998","FlatDy038d2gdz","phxune23zj","msl000611","rl","65","img/p_s_stripes.png","74","test","6","415","0","","","","color,shape,pattern"
"null","","1820007","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1020","","1821036","FlatDy038d2gdz","phxune23zj","msl000611","rl","83","img/p_c_dots.png","68","test","3","416","0","","","","color,shape,pattern"
"null","","1822046","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
